2025-04-14 22:29:47.390  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.390  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.415  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.416  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.444  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.444  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.485  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.485  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.522  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.523  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.566  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.566  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.598  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.598  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.629  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.630  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.666  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.666  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.698  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.698  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.749  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.749  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.791  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.791  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.825  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.825  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.859  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.859  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
2025-04-14 22:29:47.897  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : Using updatedIncomeEvents from context, count: 2
2025-04-14 22:29:47.897  INFO 35230 --- [main] c.a.l.service.IncomeEventServiceImpl     : After processing (non-current year), updatedIncomeEvents count: 2
