Year,TotalInvestments,TotalIncome,TotalExpenses,TaxesPaid,CashBalance
2025,12082.1467383130063,75790.12730845363912681026,5150.01047285419286324285,0,-5150.01047285419286324285
2026,6943.16515062293195433,77347.66435078131402557152,6943.16515062293195433,9683.46,-14833.469984867212216554530
