Year,TotalInvestments,TotalIncome,TotalExpenses,TaxesPaid,CashBalance
2025,12082.134711514565,76974.68988927425440722468,5150.009213450708149438010,0,-5150.009213450708149438010
2026,6943.116796933417621384,78222.44700274619609546635,6943.116796933417621384,9896.33,-15046.337701069751196788380
