Year,TotalInvestments,TotalIncome,TotalExpenses,TaxesPaid,CashBalance
2025,0,75833.31017458805191113825,0,0,-5150.008126453590166723255
2026,0,76595.96613820672154459511,0,9691.23,-14841.244752136996751644190
