Year,TotalInvestments,TotalIncome,TotalExpenses,TaxesPaid,CashBalance
2025,0,75645.35560523232845431831,0,0,-5150.01721580563012531245
2026,0,77286.90404740277112321602,0,9657.45,-14807.460552730607008482255
