Year,TotalInvestments,TotalIncome,TotalExpenses,TaxesPaid,CashBalance
2025,24070.2688158842275,75955.63686191061312725421,24100.0,0,-669818.0148182354915436577865
2026,0.263563004544729906,76777.2210938183268086323,0.263563004544729906,9194.03,-681587.0534262236934259980915
2027,0.324020920359378025,78545.187126399654408353035,0.324020920359378025,9341.67,-693503.7296248518997946393315
2028,0.210845206283998163,79580.3097371750963383052,0.210845206283998163,9659.37,-705738.1074313192503676043365
2029,0.25482334190382898,81206.81399863770306225892,0.25482334190382898,9845.38,-718158.4993890097836015436865
2030,0.229633200092634005,82128.20337717209717598825,0.229633200092634005,10137.67,-730871.1782360471020967514865
2031,0.23215947557107759,83450.78324014403725207561,0.23215947557107759,10303.23,-743749.4190584507586000748065
2032,0.218899623105804016,84398.13996442182792412273,0.218899623105804016,10540.90,-756865.3253133911770276362765
2033,0.250621871431134176,85545.23415310742211084095,0.250621871431134176,10711.15,-770151.4807636836956963714765
2034,0.29613260115792193,86564.03868384370443477625,0.29613260115792193,10917.28,-783643.7765733066005824713165
2035,0.253904183607506724,87378.876874401027759994958,0.253904183607506724,11100.35,-797319.1453130974066985990665
2036,0.265461855807476407,89059.90765635643416645633,0.265461855807476407,11246.79,-811140.9480510410188724342665
2037,0.25465337666874767,90408.514417098738333206385,0.25465337666874767,11548.87,-825264.8319815281504250634865
2038,0.185790446725111900,91558.3689269300319750347,0.185790446725111900,11791.21,-839631.0544847276605019845115
2039,0.258514907241222330,92311.63246707174810627614,0.258514907241222330,11997.83,-854203.8892519246463240019915
2040,0.268949994506870232,93681.15642851034305219025,0.268949994506870232,12133.21,-868912.1067972754157262747665
2041,0.26410574985691431,94468.79301966876499009276,0.26410574985691431,12379.31,-883866.4261123995048390257065
2042,0.242172734000590184,95678.28570390088021357743,0.242172734000590184,12520.85,-898962.2814900801842849973115
2043,0.28439770899693640,96799.47529298762870942896,0.28439770899693640,12738.18,-914275.4752621037036197375115
2044,0.22528383681541992,97621.37919864033819314095,0.22528383681541992,12939.68,-929790.1594718376231542530615
2045,0.22669819167645215,98807.90442967267056754859,0.22669819167645215,13087.37,-945452.5427276900834493659615
2046,0.181861112679304951,100140.30310779753008315924,0.181861112679304951,13300.58,-961328.1326262568669502882065
2047,0.22349135535443999,102043.35561730201465469388,0.22349135535443999,13540.02,-977443.1657978095572253407065
2048,0.233696775405306664,103285.02396592195141460958,0.233696775405306664,13881.99,-993900.1741979646674854081565
2049,0.30189646770423758,104294.70177659798899611212,0.30189646770423758,14105.12,-1010580.3084749654393743953465
2050,0.26926009515378936,106272.78366003830105992108,0.26926009515378936,14286.55,-1027441.8570524104827925567090
2051,0.255091714143972825,107176.41489047408373049237,0.255091714143972825,14642.02,-1044658.8900208463360972868290
2052,0.21751394370238489,107744.50003030786532331871,0.21751394370238489,14804.41,-1062038.3036657158305541858190
2053,0.21673152439316421,109727.91932080678803632303,0.21673152439316421,14906.49,-1079519.8020028770925269442890
2054,0.247017896908076325,111152.63148314103649738026,0.247017896908076325,15262.91,-1097357.7277641555421477968840
2055,0.268522697140093563,111696.53482697766475538498,0.268522697140093563,15518.94,-1115451.6846473563042376315340
2056,0.25989253821537674,113650.49396608078848883552,0.25989253821537674,15616.66,-1133643.3627792790027244804240
2057,0.204708240092287378,114829.70253539418088642291,0.204708240092287378,15967.79,-1152186.1673885721361165019990
2058,0.254151867469198785,116182.07908812152258373082,0.254151867469198785,16179.69,-1170940.8773764923878638165740
2059,0.224698289266546306,117880.99696615860988521808,0.224698289266546306,16422.73,-1189938.6246931035998678942740
2060,0.270514356506307102,119089.18794453749568963564,0.270514356506307102,16728.02,-1209241.6455933733657016319120
2061,0.236710898074043620,120205.216229695428964912811,0.236710898074043620,16945.12,-1228761.7770806509829062562620
2062,0.24867757831841489,121478.4784493459800573009,0.24867757831841489,17145.68,-1248482.4596054306081838139270
2063,0.226783936821168132,123432.02493830268786621222,0.226783936821168132,17374.49,-1268431.9607875930574168610670
2064,0.197770336941310254,125327.7517732262288846816,0.197770336941310254,17725.53,-1288732.5019263249310063935670
2065,0.180134434660682079,0.01727238501615493875,0.180134434660682079,18066.20,-1309373.7072007049724869356370
2066,0.25526598317697320,0.006367593194431412105,0.25526598317697320,0.00,-1311948.7186704272040712230370
2067,0.251064121120255425,0.00933893993813931708,0.251064121120255425,0.00,-1314523.7345578333512376820270
2068,0.274672783626130274,0.01131984187467424334,0.274672783626130274,0.00,-1317098.7458959416988526697320
2069,0.206315983792004909,-0.00481634126437467024,0.206315983792004909,0.01,-1319673.7654357858019171348820
