Year,TotalInvestments,TotalIncome,TotalExpenses,TaxesPaid,CashBalance
2025,0,76438.06547646684014879743,0,0,-5150.00262693606948024260
2026,0,77240.08087744787791659212,0,9799.90,-14949.915638612637979988155
