Year,TotalInvestments,TotalIncome,TotalExpenses,TaxesPaid,CashBalance
2025,12082.1101573920134,76580.70266829630076284412,0,0,-5150.010645868509470249760
2026,6943.14038740012969894,78369.5269968096686167092,0,9825.53,-14975.547446164645150411910
