Year,TotalInvestments,TotalIncome,TotalExpenses,TaxesPaid,CashBalance
2025,0,3600.00,0,0,-765.000
2026,0,3600.00,0,108.00,-873.000
2027,0,3600.00,0,108.00,-873.000
2028,0,3600.00,0,108.00,-873.000
2029,0,3600.00,0,108.00,-873.000
2030,0,3600.00,0,108.00,-873.000
2031,0,3600.00,0,108.00,-873.000
2032,0,3600.00,0,108.00,-873.000
2033,0,3600.00,0,108.00,-873.000
2034,0,3600.00,0,114.16,-879.160
2035,0,3600.00,0,119.56,-884.560
2036,0,3600.00,0,123.62,-888.620
2037,0,3600.00,0,126.65,-891.650
2038,0,3600.00,0,128.90,-893.900
2039,0,3600.00,0,130.55,-895.550
2040,0,3600.00,0,131.77,-896.770
2041,0,3600.00,0,132.65,-897.650
2042,0,3600.00,0,133.30,-898.300
2043,0,3600.00,0,133.77,-898.770
2044,0,3600.00,0,134.11,-899.110
2045,0,3600.00,0,134.35,-899.350
2046,0,3600.00,0,134.53,-899.530
2047,0,3600.00,0,134.66,-899.660
2048,0,3600.00,0,134.75,-899.750
2049,0,3600.00,0,134.82,-899.820
2050,0,3600.00,0,134.87,-899.870
2051,0,3600.00,0,134.91,-899.910
2052,0,3600.00,0,134.93,-899.930
2053,0,3600.00,0,134.95,-899.950
2054,0,3600.00,0,134.96,-899.960
2055,0,3600.00,0,134.97,-899.970
2056,0,3600.00,0,134.98,-899.980
2057,0,3600.00,0,134.99,-899.990
2058,0,3600.00,0,134.99,-899.990
2059,0,3600.00,0,134.99,-899.990
